age_group,education,gender,nationality,electoral_district,unit,EKRE,Eesti 200,Hard to say,Isamaa,Keskerakond,Mitte ükski erakond,Other,Parempoolsed,Reformierakond,Rohelised,SDE,N
35-44,Secondary education,Female,Estonian,Tartu linn,Tartu linn,0,1,1,0,0,1,0,0,4,0,0,7
35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,1,1,1,1,0,0,0,0,0,4
35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1,0,2,0,1,0,0,0,1,1,0,6
35-44,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,0,0,1,0,0,0,0,0,0,2
35-44,Secondary education,Female,Other,Harju- ja Raplamaa,Harjumaa,0,0,1,0,0,2,0,0,0,0,0,3
35-44,Secondary education,Female,Other,Harju- ja Raplamaa,Raplamaa,1,0,1,0,0,0,0,0,0,0,0,2
35-44,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,0,0,0,0,0,0,0,0,0,0,1,1
35-44,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,0,1,5,0,1,1,0,0,0,0,2,10
35-44,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,0,0,1,0,0,0,0,0,0,0,0,1
35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,0,0,3,1,0,0,0,0,0,4
35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,2,0,3,5,0,0,0,0,0,10
35-44,Secondary education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,0,0,0,0,0,1,0,0,0,0,0,1
35-44,Secondary education,Female,Other,Mustamäe ja Nõmme,Mustamäe,0,0,1,0,3,0,0,0,0,0,0,4
35-44,Secondary education,Female,Other,Pärnumaa,Pärnumaa,0,0,0,0,0,1,0,0,0,0,0,1
